artist_id,artist_name,artist_popularity,genres
5yPzzu25VzEk8qrGTLIrE1,Young Nudy,71,
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,80,melodic rap
5f7VJjfbwm532GiveGC0ZK,Lil Baby,88,
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,87,melodic rap
50co4Is1HCEo8bhOyUWKpn,Young Thug,85,rap|melodic rap|trap
6AgTAQt8XS6jRWi4sX7w49,Polo G,79,
7juKTDFlPesGeWQ1GmjmOv,Silentó,52,
4Gso3d4CscCijv0lmajZWs,Don Toliver,87,
78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,79,bedroom pop
5SXuuuRpukkTvsLuUknva1,Baby Keem,74,
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,
6UIpxj5ggLdOebFVCOxVax,Loe Shimmy,69,sexy drill
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,85,rap
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,92,rap
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,85,
3TVXtAsR1Inumwj472S9r4,Drake,98,rap
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,77,brooklyn drill|melodic rap
4HzKw8XcD0piJmDrrPRCYk,Majid Jordan,68,
2rwALQ1SXdfUWPUd6WOfYS,Aaron May,66,
6vXTefBL93Dj5IqAWq6OTv,French Montana,76,
7rkW85dBwwrJtlHRDkJDAC,NAV,72,melodic rap
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,81,melodic rap|rap
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,78,brooklyn drill|drill|new york drill
6MPCFvOQv5cIGfw3jODMF0,Internet Money,67,
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,85,melodic rap
5lpH0xAS4fVfLkACg9DAuM,Wham!,82,christmas
699OTQXzgjhIYAHMy9RyPD,Playboi Carti,89,rage rap
